date,max_temp,min_temp,avg_temp
2026-07-31,25.1,23.0,24.05
2026-08-01,27.1,22.8,24.950000000000003
2026-08-02,27.2,23.1,25.15
2026-08-03,25.8,23.0,24.4
2026-08-04,27.8,23.1,25.450000000000003
2026-08-05,26.9,22.9,24.9
2026-08-06,26.9,22.5,24.7
2026-08-07,27.4,22.7,25.049999999999997
